title_index,level,organization,organization_link,rating,rating_count,course_type,skills,instructors,links
191,Beginner level,IBM,https://www.coursera.org/partners/ibm-skills-network,4.9,2580,course,"['Performance Metric', 'Continuous Improvement Process', 'Backlogs', 'Sprint Retrospectives', 'Agile Software Development', 'Agile Methodology', 'Performance Measurement', 'Workflow Management', 'Kanban Principles', 'Team Oriented', 'Agile Project Management', 'Sprint Planning', 'User Story', 'Estimation', 'Lean Methodologies', 'Prioritization']",['John Rofrano'],['https://www.coursera.org/instructor/johnrofrano']
593,,The University of Melbourne,https://www.coursera.org/partners/unimelb,4.6,643,course,"['Capital Markets', 'International Finance', 'Economic Development', 'Financial Market', 'Market Liquidity', 'Financial Regulation', 'Market Dynamics', 'Governance', 'Risk Management', 'Corporate Finance', 'Market Analysis', 'Financial Systems']","['Paul Kofman', 'Sean Pinder']","['https://www.coursera.org/instructor/pkofman', 'https://www.coursera.org/instructor/spinder', 'https://www.coursera.org/instructor/pkofman', 'https://www.coursera.org/instructor/spinder']"
403,Beginner level,Coursera Instructor Network,https://www.coursera.org/partners/coursera-instructor-network,4.5,62,course,,"['Manish Gupta', 'Starweaver']","['https://www.coursera.org/instructor/~139904014', 'https://www.coursera.org/instructor/~141793623', 'https://www.coursera.org/instructor/~139904014', 'https://www.coursera.org/instructor/~141793623']"
321,Intermediate level,Tally Education and Distribution Services Private Limited,https://www.coursera.org/partners/tally,4.6,64,course,"['Budgeting', 'Accounting Software', 'Sales Support', 'Order Management', 'Bookkeeping', 'Inventory Control', 'Inventory Management System', 'Accounting', 'Cost Management', 'Financial Reporting', 'Profit and Loss (P&L) Management', 'Financial Accounting', 'Accounts Payable and Receivable']",['Tally Education and Distribution Services Private Limited'],['https://www.coursera.org/instructor/~115821884']
261,Intermediate level,IE Business School,https://www.coursera.org/partners/ie,4.9,124,course,"['Business Economics', 'Economics', 'Analysis', 'Business Strategies', 'Business Risk Management', 'World History', 'Financial Policy', 'Economic Development', 'Public Policies', 'Global Marketing', 'International Relations', 'Investments', 'Trend Analysis', 'Socioeconomics']",['Gayle Allard'],['https://www.coursera.org/instructor/gayleallard']
718,Beginner level,"University of California, Davis",https://www.coursera.org/partners/ucdavis,4.6,10319,course,"['Algorithms', 'Keyword Research', 'Target Audience', 'Web Analytics and SEO', 'User Research', 'Google Analytics', 'Content Strategy', 'Data Analysis', 'Content Performance Analysis', 'Persona Development', 'Digital Marketing', 'Search Engine Optimization', 'Business Reporting', 'Web Content']",['Rebekah May'],['https://www.coursera.org/instructor/rmay']
322,Intermediate level,Coursera Instructor Network,https://www.coursera.org/partners/coursera-instructor-network,4.8,105,course,"['Change Management', 'Business Leadership', 'Leadership and Management', 'Leadership', 'Employee Engagement', 'Self-Awareness', 'People Management', 'Coaching', 'Cognitive flexibility', 'Leadership Development', 'Performance Management', 'Emotional Intelligence', 'Team Leadership', 'Team Management', 'Adaptability']",['Mariaan Van Zyl'],['https://www.coursera.org/instructor/~136918450']
327,Beginner level,"Automatic Data Processing, Inc. (ADP)",https://www.coursera.org/partners/adp,4.8,144,course,"['Payroll Administration', 'Employee Onboarding', 'Tax Compliance', 'Payroll Processing', 'Compensation and Benefits', 'Payroll', 'Payroll Reporting', 'Income Tax', 'Tax Preparation', 'Payroll Tax', 'Labor Law', 'Labor Compliance']",['ADP Learning Academy'],['https://www.coursera.org/instructor/~155103792']
380,Beginner level,University of Colorado Boulder,https://www.coursera.org/partners/boulder,4.6,328,course,"['Instagram', 'Digital Advertising', 'Social Media Marketing', 'Web Analytics', 'Advertising Campaigns', 'Brand Awareness', 'Advertising', 'Social Media', 'Consumer Behaviour', 'Social Media Strategy', 'Marketing Communications', 'Target Audience', 'Content Performance Analysis', 'Driving engagement', 'Paid media', 'Facebook', 'Online Advertising']",['Chris J. Vargo'],['https://www.coursera.org/instructor/chris-vargo']
539,,Georgia Institute of Technology,https://www.coursera.org/partners/gatech,4.6,319,course,"['Distributed Computing', 'Data Store', 'Cloud Infrastructure', 'Virtualization', 'Scalability', 'Cloud Applications', 'Cloud Computing', 'Apache Hadoop', 'Multi-Tenant Cloud Environments', 'Virtual Machines']",['Umakishore Ramchandran'],['https://www.coursera.org/instructor/kishore-ramachandran']
