Title,Index
Improving Your Statistical Questions | Coursera,418
Understanding & Preventing Workplace Sexual Harassment | Coursera,419
Introduction to Imagemaking | Coursera,420
Global Energy and Climate Policy | Coursera,421
XML Practical - XSLT and SVG Project | Coursera,422
Microsoft Power BI Data Analyst Professional Certificate | Coursera,423
Econometrics: Methods and Applications | Coursera,424
Assets in Accounting | Coursera,425
Accelerate Your Job Search with AI | Coursera,426
Training and Practicing in English Public Speaking | Coursera,427
Essentials of Corporate Finance Capstone | Coursera,428
DevOps and AI on AWS | Coursera,429
"Federal Taxation I: Individuals, Employees, and Sole Proprietors | Coursera",430
Foundations of User Experience (UX) Design | Coursera,431
"Strategic HRM: Talent, Performance, Compensation Design | Coursera",432
Harnessing the Power of Data with Power BI | Coursera,433
Introduction to Technical Writing | Coursera,434
Introduction to Marketing | Coursera,435
Marketing Analytics with Meta | Coursera,436
Data Visualization | Coursera,437
Global Warming I: The Science and Modeling of Climate Change | Coursera,438
Design Thinking for Innovation | Coursera,439
Fundamentals of Quantitative Modeling | Coursera,440
Matplotlib: Python Data Visualization & Wrangling | Coursera,441
Market Research Methods and Data Analysis Certificate | Coursera,442
IBM Data Management Professional Certificate | Coursera,443
Well Being & Self Care: for Physical and Mental Health | Coursera,444
"Planning: Principled, Proposing, Proofing, and Practicing to a Success Plan | Coursera",445
IBM Product Manager Professional Certificate | Coursera,446
The Age of Sustainable Development | Coursera,447
Using Public Policy for Social Change | Coursera,448
Agile Project Management by Google | Coursera,449
Convolutional Neural Networks | Coursera,450
Microsoft AI Product Manager Professional Certificate | Coursera,451
Communication Skills | Coursera,452
DeepLearning.AI Data Analytics Professional Certificate | Coursera,453
Tableau Business Intelligence Analyst Professional Certificate | Coursera,454
Introduction to Food and Our Environment | Coursera,455
IBM Systems Analyst Professional Certificate | Coursera,456
Fundamentals of UI/UX Design | Coursera,457
Programming Mobile Applications for Android Handheld Systems: Part 2 | Coursera,458
Assessment for Data Analysis and Visualization Foundations | Coursera,459
IBM Data Analytics with Excel and R Professional Certificate | Coursera,460
Ideas from the History of Graphic Design | Coursera,461
